EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeType,PayZone,TerminationType,DepartmentType,Division,DOB,State,GenderCode,LocationCode,RaceDesc,MaritalDesc,PerformanceScore,CurrentEmployeeRating,ExitYear,CleanedEmployeeStatus
3427,Uriah,Bridges,2019-09-20,,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Contract,Zone C,,Production,Finance & Accounting,1969-10-07,MA,Female,34904,White,Widowed,Fully Meets,4,,Active
3428,Paula,Small,2023-02-11,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Contract,Zone A,,Production,Aerial,1965-08-30,MA,Male,6593,Hispanic,Widowed,Fully Meets,3,,Active
3429,Edward,Buck,2018-12-10,,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Full-Time,Zone B,,Sales,General - Sga,1991-10-06,MA,Male,2330,Hispanic,Widowed,Fully Meets,4,,Active
3430,Michael,Riordan,2021-06-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Contract,Zone A,,Sales,Finance & Accounting,1998-04-04,ND,Male,58782,Other,Single,Fully Meets,2,,Active
3431,Jasmine,Onque,2019-06-29,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Contract,Zone A,,Sales,General - Con,1969-08-29,FL,Female,33174,Other,Married,Fully Meets,3,,Active
3432,Maruk,Fraval,2020-01-17,,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Contract,Zone B,,Sales,Field Operations,1949-04-03,CT,Male,6050,Black,Married,Fully Meets,3,,Active
3433,Latia,Costa,2022-04-06,2023-07-03,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Full-Time,Zone B,Involuntary,Sales,General - Eng,1942-07-01,CA,Female,90007,Hispanic,Divorced,Exceeds,4,2023.0,Inactive
3434,Sharlene,Terry,2020-11-06,2023-01-29,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Contract,Zone C,Involuntary,Sales,Engineers,1957-03-07,OR,Female,97756,White,Divorced,Fully Meets,2,2023.0,Inactive
3435,Jac,McKinzie,2018-08-18,,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Contract,Zone B,,Sales,Executive,1974-05-15,TX,Male,78789,Black,Widowed,Exceeds,3,,Active
3436,Joseph,Martins,2022-01-21,2023-06-29,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Part-Time,Zone B,Resignation,Sales,Engineers,1949-11-11,TX,Male,78207,Asian,Widowed,Fully Meets,5,2023.0,Inactive
3437,Myriam,Givens,2023-08-04,,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Contract,Zone B,,Sales,Field Operations,1964-01-26,IN,Female,46204,Other,Single,Fully Meets,5,,Active
3438,Dheepa,Nguyen,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Full-Time,Zone C,Retirement,Sales,General - Con,1948-04-06,GA,Female,30428,Asian,Married,Fully Meets,3,2019.0,Inactive
3439,Bartholemew,Khemmich,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Full-Time,Zone A,Involuntary,Sales,Splicing,1981-11-24,CO,Male,80820,Other,Single,Fully Meets,3,2022.0,Inactive
3440,Xana,Potts,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Contract,Zone A,Resignation,Sales,Finance & Accounting,1951-11-06,KY,Female,40220,White,Divorced,Fully Meets,3,2023.0,Inactive
3441,Prater,Jeremy,2019-04-28,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Part-Time,Zone A,,Sales,General - Con,1989-11-21,NV,Male,89139,Asian,Widowed,Exceeds,4,,Active
3442,Kaylah,Moon,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Full-Time,Zone A,Retirement,IT/IS,Field Operations,1952-11-24,MA,Male,2810,Black,Single,Exceeds,2,2022.0,Inactive
3443,Kristen,Tate,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Full-Time,Zone C,Voluntary,IT/IS,Project Management - Con,1994-04-08,KY,Male,2621,Asian,Widowed,Fully Meets,3,2023.0,Inactive
3444,Bobby,Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Contract,Zone A,Voluntary,Sales,Engineers,1983-11-15,KY,Male,44553,Other,Widowed,Fully Meets,3,2022.0,Inactive
