ApplicantID,ApplicationDate,FirstName,LastName,Gender,DateofBirth,PhoneNumber,Email,Address,City,State,ZipCode,Country,EducationLevel,YearsofExperience,DesiredSalary,JobTitle,Status
1001,2023-06-03,Scott,Sheppard,Male,1992-08-31,421-429-7655 ext.39421,perezjanet@example.org,597 Smith Point,Hollandfort,NV,57588,,High School,8,60103.21,chief technology officer,Interviewing
1002,2023-05-15,Stanley,Lewis,Male,1965-04-29,+1-451-574-5308 ext.1681,grossmark@example.com,8116 Stuart Loop,Port Margaretfurt,TN,14726,Greenland,Bachelor's Degree,17,64575.84,designer    furniture,Rejected
1003,2023-08-04,Javier,Li,Female,1973-03-10,858-901-5499,katiemaldonado@example.com,5940 Barr Villages Suite 075,Dianaland,TX,4699,China,PhD,20,39422.71,sound technician    broadcasting   film   video,Rejected
1004,2023-07-28,Christopher,Johnston,Other,2001-04-04,853-681-1839 ext.2010,sheila73@example.com,442 Lewis Mount,Youngfurt,GA,34455,Ghana,High School,8,51045.11,air cabin crew,Rejected
1005,2023-06-05,Melissa,Hicks,Other,1978-06-17,364-575-8478 ext.67812,emilypatterson@example.org,95961 Taylor Circles Apt. 169,East Ashleyborough,IN,21014,Solomon Islands,Master's Degree,0,52792.86,art therapist,Interviewing
1006,2023-07-26,Christian,Maddox,Female,1983-06-14,894-940-2919,pvelasquez@example.net,3030 Bell Islands,Boonefort,NC,34763,Liberia,Master's Degree,18,97746.62,engineer    electronic,In Review
1007,2023-06-09,Paul,Hammond,Female,1963-08-16,,aclayton@example.net,58473 Jenna Trail,Port Barry,GA,57472,Congo,High School,11,80119.39,scientist    research    math  ,Offered
1008,2023-07-15,Madison,Williamson,Male,1978-09-07,001-902-992-9557 ext.692,jeffreyellis@example.com,24740 Gregory Stravenue Suite 212,New Luisfort,VA,71682,,Bachelor's Degree,0,41578.78,teacher    primary school,Offered
1009,2023-06-16,Rachael,Duran,Male,1997-09-11,+1-738-583-6354 ext.63335,hamptontimothy@example.net,375 Flowers Well,Amandashire,PW,25218,Spain,High School,15,44489.6,phytotherapist,Interviewing
1010,2023-05-25,Sherri,Taylor,Male,1983-04-24,915-372-0499,cshaw@example.net,037 Quinn Route,Garrisonmouth,CA,82074,Gabon,Master's Degree,4,97363.53,pilot    airline,Offered
1011,2023-05-14,Jennifer,Weaver,Other,1998-10-22,852-435-8495,sloankrista@example.org,700 Quinn Green Suite 066,Haileyville,MS,37729,Switzerland,PhD,19,39252.38,theatre director,In Review
1012,2023-06-04,Kyle,Blake,Other,2001-03-25,001-527-907-9332 ext.4819,shelia63@example.net,611 Thomas Dam Suite 296,East Melinda,OH,62970,China,Bachelor's Degree,7,79650.82,corporate treasurer,Applied
